Record_Type,Current_Location,Animal_Name,Age,Animal_Gender,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,Memo,animal_type,Animal_Breed,id
ADOPTABLE,In RASKC Foster Home,Snoopy,9 MONTHS,Spayed Female,White,19-Dec-24,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2024-12-19<p/> Description: White Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 9 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Snoopy and I`m a rabbit who is looking for a forever home with my bonded friend named Raboot.<p/><p/>I am looking for someone who can provide us with plenty of love and attention. We love to snuggle each other but theres room for you too!<p/><p/>We are gentle souls who like to take things slow. I am the shy one and Raboot is the outgoing one. My foster mom tells me Im sooooooo soft and so sweet. I have super soft, plush Rex fur. I love to follow Raboot on his explorations and would love a home with lots of space for us.<p/><p/>We are currently with a foster - Please submit an adoption interest form and our foster parent will be in touch with you!<p/>",Rabbit Sh,Rabbit Sh,721588
LOST,LOST,Snowflake,Over 1 year<p/>,Female,White,29-Dec-24,Date Lost,12800 block of  AMBAUM BLVD SW,Burien,WA,98146,"Description: She’s small weighs between 4-4.7 lbs mainly white with black and tan around her face. She loves to turn around and being held she’s very social <p/>Age: Over 1 year<p/>Location Lost: 12845 Ambaum Blvd SW Burien, WA  98146, Seattle WA  98146<p/>Lost Date: 2025-12-26<p/>",Dog,Maltese,721917
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Maxine,1 YEAR 5 MONTHS,Spayed Female,Black / White,28-May-25,Received on,,,WA,,"Received on: 2025-05-28<p/> Description: Black / White<p/>  Spayed Female Pit Bull / Mix Dog<p/> Age: 1 YEAR 5 MONTHS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Maxine and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on May 28, 2025.<p/><p/>I weigh ~65.0 lbs and am considered a ""large breed"" dog.<p/><p/>I love to play with toys! I like to carry a stuffie in my mouth during walks too. My volunteer friends say it`s pretty adorable. :) I am great at keeping myself entertained with my toys, but I do need durable toys, or toys you plan to let me rip up under supervision! You can restuff them with treats once I unstuff them for you. I'd love a snuffle mat, as I am VERY good at using my nose and taste for sniffing things out.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. My caregivers have been keeping me busy by feeding me with a maze feeder and offering me a lot of chew toys! Due to my high energy I would thrive best in a home without kids, or at least a home with dog-savvy kids over the age of 12.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I'm a Playgroup Pal! Ask the staff today about my interactions with other dogs at the shelter in our Playgroups.<p/><p/>I am a sweet gal who is still working on her leash skills :)<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",Dog,Pit Bull / Mix,723829
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Juno,5 YEARS 3 MONTHS,Spayed Female,Bl Brindle / Gray,31-Jul-25,Received on,,,WA,,"Received on: 2025-07-31<p/> Description: Bl Brindle / Gray<p/>  Spayed Female German Shepherd / Mix Dog<p/> Age: 5 YEARS 3 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Juno and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 4/13/25. I was out in foster care for a bit, and then I was adopted. However, I need someone around to rely on at all times, as I do not like being left alone. My caretaker understood the importance of what I needed, and also was respecting the opinions of the other animals in the home (I liked to chase the cat, and that was stressful for everyone) so, I was returned to the shelter to find my forever home.<p/><p/>Going forward, I would do best in a home without any other animals, and someone around all the time.<p/><p/>I weigh ~60 lbs and am considered a ""large breed"" dog.<p/><p/>So far, at the shelter I am an independent dog who likes to do my own thing! I came in with an uncomfortable skin infection so I sometimes pets make me nervous but I am quickly learning that they aren't so bad now that I am feeling better!<p/><p/>My caregivers have noticed that I seem to do well with other large dogs who are very gentle and easy-going. I would not do well with energetic dogs with a rowdy play style. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home without young children. <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>Your new pet received a basic physical exam, in addition to routine vaccines, deworming, and topical flea preventative, if indicated.  Although your new pet is ready for adoption, there is always a possibility of additional medical conditions that have not been detected or may develop in the future.  Current medical conditions are noted below.<p/><p/>1) Dermatitis/pyoderma - Juno came in with significant dermatitis/pyoderma (skin infection) all over. We have started her on systemic/oral antibiotics. Please continue to monitor her skin. This may take some to heal and for fur to grow back. If her skin does not improve or gets worse, please follow up with your regular veterinarian or veterinary dermatologist. There is a possible underlying allergy component.<p/><p/>",Dog,German Shepherd / Mix,726730
ADOPTABLE,In RASKC Foster Home,Champ,1 YEAR 4 MONTHS,Neutered Male,Br Brindle / White,22-Apr-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-04-22<p/> Description: Br Brindle / White Neutered Male American Pit Bull Terrier Dog<p/> Age: 1 YEAR 4 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Champ and I am available for adoption.<p/><p/>I have become a staff and volunteer favorite here at the shelter due to my lovable, endearing personality.<p/><p/>I enjoy going for long walks but would also make a great snuggle buddy at home.<p/><p/>I love to play with other dogs! When meeting dogs in the home, I would do best with a slow introduction.<p/><p/>I would do best in a home with no cats.<p/><p/>I weigh 62.5 lbs and am considered a large breed dog.<p/>",Dog,American Pit Bull Terrier,727191
ADOPTABLE,In RASKC Foster Home,Zula,6 YEARS 2 MONTHS,Spayed Female,Blue / Tan,18-Jul-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-07-18<p/> Description: Blue / Tan Spayed Female American Bully Dog<p/> Age: 6 YEARS 2 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Zula. I came to RASKC when my family could no longer care for me. Now I'm looking for a new home. <p/><p/>Here in the shelter I've been a bit of a shy gal, but I'm starting to come out of my shell more and more. I like calm, quiet people and appreciate some good pets and a nice, relaxing walk. I'm on a weight loss journey this summer and my new family should be prepared to work with their vet to help me shed some pounds and live my best life. It's unknown how I feel about other dogs, but I'm willing to give it a try! <p/><p/>I weigh 80lbs and am considered a large breed dog. <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",Dog,American Bully,728158
FOUND,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nurdle,3 MONTHS,Male,Orange / White,13-May-25,Received on,10600 block of  SE 240TH ST,KENT,WA,98031,"Received on: 2025-05-13<p/> Found Near: 10600 block of  SE 240TH ST<p/> Description: Orange / White Male Domestic Longhair Cat<p/> Age: 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",Cat,Domestic Longhair,728439
ADOPTABLE,In RASKC Foster Home,Apricot,1 YEAR 2 MONTHS,Spayed Female,Black / Tan,15-May-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-05-15<p/> Description: Black / Tan Spayed Female Dwarf Dwarf<p/> Age: 1 YEAR 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Apricot and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by a good samaritan on May 15, 2025 when I was found roaming in their pasture.<p/><p/>I came in alone but could potentially be bonded to a new rabbit friend with proper introductions. If you are considering adding a second bunny to your family, familiarize yourself with the rabbit bonding process and don't hesitate to reach out if you would like us to host a speed date to find the best match.  <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Dwarf,Dwarf,728566
FOUND,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Onyx,8 MONTHS,Male,Black / Brown,17-May-25,Received on,38400 block of  172ND AVE SE,AUBURN,WA,98092,"Received on: 2025-05-17<p/> Found Near: 38400 block of  172ND AVE SE<p/> Description: Black / Brown Male German Shepherd / Siberian Husky Dog<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",Dog,German Shepherd / Siberian Husky,728639
ADOPTABLE,In RASKC Foster Home,Clementine,3 YEARS 10 MONTHS,Spayed Female,Gray,24-May-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-05-24<p/> Description: Gray Spayed Female German Shepherd / Mix Dog<p/> Age: 3 YEARS 10 MONTHS<p/> Adoption Fee: $250.00<p/> Current Location: In RASKC Foster Home <p/><p/>Clementine is really cute and super sweet!   She is loving, but not needy.    She is very happy to chill at your side.  Fa She wants to please and is very trainable.   She gets along well with the older, larger dog in the foster home, liking to sleep right next to her.  She plays well with the other dog, and she is not hyper but has energy to go on nice long walks and to play as much as you want.    She is potty trained and crate trained, and she is also able to stay uncrated in the house without being destructive.    Clementine can be fearful and she really benefits from a calm approach and positive reinforcement.   She has been nervous when people come over and will bark a little, but she calms down and warms up very quickly to guests.    I think she would do well in a household with another dog, and would likely do well as an only dog, too.     <p/><p/>",Dog,German Shepherd / Mix,729088
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Yarik,15 WEEKS,Neutered Male,Gray,24-Jun-25,Received on,,,WA,,"Received on: 2025-06-24<p/> Description: Gray<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 15 WEEKS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",Cat,Domestic Shorthair,729103
ADOPTABLE,In RASKC Foster Home,Holister,NO AGE,Spayed Female,Brown,27-May-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-05-27<p/> Description: Brown Spayed Female Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Holister and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by a good samaritan on May 27, 2025.<p/><p/>I came in with Aeropostale (A729211) we are a bonded pair and should be adopted together. <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Rabbit Sh,Rabbit Sh,729210
ADOPTABLE,In RASKC Foster Home,Aeropostale,NO AGE,Spayed Female,Brown,27-May-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-05-27<p/> Description: Brown Spayed Female Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Aeropostale and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by a good samaritan on May 27, 2025.<p/><p/>I came in with Holister (A729210) we are a bonded pair and should be adopted together. <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Rabbit Sh,Rabbit Sh,729211
FOUND,In Public Home,,Unknown<p/>,Male,Black,29-May-25,Date Found,194TH  ST,,WA,,"Description: I Found a dog and I have no idea what to do, I can’t keep it at my house :( should I let it go? <p/>Age: Unknown<p/>Found Near: 194th st , Renton WA  98058<p/>Found Date: 2025-06-29<p/>",Dog,Chihuahua - Smooth Coated,729355
FOUND,In Public Home,,Unknown<p/>,Male,Black,30-May-25,Date Found,194TH  ST,,WA,,"Description: I Found a dog and I have no idea what to do, I can’t keep it at my house :( should I let it go? <p/>Age: Unknown<p/>Found Near: 194th st , Renton WA  98058<p/>Found Date: 2025-06-29<p/>",Dog,Chihuahua - Smooth Coated,729378
FOUND,In Public Home,,Unknown<p/>,Male,Black,30-May-25,Date Found,194TH  ST,,WA,,"Description: I Found a dog and I have no idea what to do, I can’t keep it at my house :( should I let it go? <p/>Age: Unknown<p/>Found Near: 194th st , Renton WA  98058<p/>Found Date: 2025-06-29<p/>",Dog,Chihuahua - Smooth Coated,729410
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ramsey,6 YEARS 2 MONTHS,Neutered Male,Tan / White,25-Jul-25,Received on,,,WA,,"Received on: 2025-07-25<p/> Description: Tan / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 6 YEARS 2 MONTHS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ramsey and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on June 3, 2025. <p/><p/>I weigh 48.0 lbs, but I am quite underweight. When at a healthy weight I would be considered a ""large breed"" dog.<p/><p/>I am very treat motivated and will ""sit"" for them, but watch your fingers because I am not the most gentle when taking them yet!<p/><p/>I am unsure of new things and people so I am looking for a patient family who understands I am a work in progress! Because of my shy nature, I would do best in a calm, quiet home without younger children (fast movements and loud noises startle me). I went to a foster home briefly and they said I appear to be fully potty trained and crate trained! I also do well with other dogs who have a full contact playstyle and like to wrestle. I am also great on leash! <p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",Dog,Pit Bull,729616
ADOPTABLE,In RASKC Foster Home,Sky,6 YEARS 1 MONTH,Spayed Female,Black / Tan,11-Jun-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-06-11<p/> Description: Black / Tan Spayed Female German Shepherd Dog<p/> Age: 6 YEARS 1 MONTH<p/> Adoption Fee: $250.00<p/> Current Location: In RASKC Foster Home <p/>Sky is a sweet and lovable girl. She is potty trained and is taking well to crate training (we think she may have prior experience with it). She is very smart, a quick learner, and she enjoys stimulating activities like fetch and puzzle toys. She is also quite a nervous girl, so she would do best in a calm home as the only dog. She is more than worth the care and patience to win her love and devotion!<p/>",Dog,German Shepherd,730088
LOST,LOST,Red,Over 1 year<p/>,Male,Unknown,15-Jun-25,Date Lost,152ND  AVE SE AND SE 275ND ST,,WA,,"<p/>Age: Over 1 year<p/>Location Lost: 152nd ave se and se 275nd st, Kent WA  98042<p/>Lost Date: 2025-07-15<p/>",Dog,Shiba Inu,730343
LOST,LOST,Red,Over 1 year<p/>,Male,Unknown,17-Jun-25,Date Lost,152ND  AVE SE AND SE 275ND ST,,WA,,"<p/>Age: Over 1 year<p/>Location Lost: 152nd ave se and se 275nd st, Kent WA  98042<p/>Lost Date: 2025-07-15<p/>",Dog,Shiba Inu,730455
LOST,LOST,Eva,Unknown<p/>,Female,Brown,25-Jun-25,Date Lost,1500 block of  Broadway,Seattle,WA,98122,"<p/>Age: Unknown<p/>Location Lost: 1509 Broadway Seattle,Wa, Seattle WA  98122<p/>Lost Date: Jun 25 202<p/>",Dog,Chihuahua - Smooth Coated,730933
LOST,LOST,Carl,Over 1 year<p/>,Male,Brown,26-Jun-25,Date Lost,25700 block of  135TH AVE SE,Kent,WA,98042,"Description: Small tan <p/>Age: Over 1 year<p/>Location Lost: 25739 135th ave se unit 47, Kent WA  98042<p/>Lost Date: 2025-06-26<p/>",Dog,Chihuahua - Smooth Coated,730972
LOST,LOST,Thomas/ Tomm,Over 1 year<p/>,Male,Unknown,26-Jun-25,Date Lost,29200 block of  Military Rd S,Federal Way,WA,98003,"Description: Grey long fur Scottish straight male, very friendly but skittish.<p/>Age: Over 1 year<p/>Location Lost: 29225 Military road , Federal Way WA  98003<p/>Lost Date: 2025-06-26<p/>",Cat,Scottish Fold,730993
FOUND,In Public Home,,Unknown<p/>,Unknown,Black,27-Jun-25,Date Found,220ST  AND MILITARY RD,,WA,,"Description: Smaller dog, black head, white and black neck and body <p/>Age: Unknown<p/>Found Near: 220st and military rd, Seattle WA  98198<p/>Found Date: 2025-06-27<p/>",Dog,Pomeranian,731067
LOST,LOST,Olive “kitty,Over 1 year<p/>,Female,Unknown,26-Jun-25,Date Lost,300 block of  S St SE,Auburn,WA,98002,"Description: She is a Tuxedo cat with white mittens and green eyes. She is roughly 10 years old. Last seen 12:00 AM on our front porch. <p/>Age: Over 1 year<p/>Location Lost: 37th Ave S, Seattle WA  98168<p/>Lost Date: 2025-06-26<p/>",Cat,Domestic Longhair,731087
FOUND,In Public Home,Stray Kids,Over 1 year<p/>,Female,Unknown,27-Jun-25,Date Found,13200 block of  SE EASTGATE WAY,Bellevue,WA,98005,<p/>Age: Over 1 year<p/>Found Near: 13200 block of  SE EASTGATE WAY<p/>Found Date: 2025-06-27<p/>,Cat,Domestic Shorthair,731089
FOUND,In Public Home,"2am, Got 7,",Unknown<p/>,Unknown,Unknown,27-Jun-25,Date Found,13200 block of  SE EASTGATE WAY,Bellevue,WA,98005,Description: ~9weeks<p/>Age: Unknown<p/>Found Near: 13200 block of  SE EASTGATE WAY<p/>Found Date: 2025-06-27<p/>,Cat,Domestic Mediumhair,731090
LOST,LOST,Bean,Unknown<p/>,Female,Unknown,28-Jun-25,Date Lost,EDMONDS  AVE NE,,WA,,"Description: 20 pounds. Black tall chihuahua<p/>Age: Unknown<p/>Location Lost: Edmonds Ave NE, Renton WA  98056<p/>Lost Date: 2025-06-28<p/>",Dog,Chihuahua - Smooth Coated,731106
LOST,LOST,Bean,Unknown<p/>,Female,Unknown,28-Jun-25,Date Lost,EDMONDS  AVE NE,,WA,,"Description: 20 pounds. Black tall chihuahua<p/>Age: Unknown<p/>Location Lost: Edmonds Ave NE, Renton WA  98056<p/>Lost Date: 2025-06-28<p/>",Dog,Chihuahua - Smooth Coated,731107
LOST,LOST,Bean,Unknown<p/>,Female,Unknown,28-Jun-25,Date Lost,EDMONDS  AVE NE,,WA,,"Description: 20 pounds. Black tall chihuahua<p/>Age: Unknown<p/>Location Lost: Edmonds Ave NE, Renton WA  98056<p/>Lost Date: 2025-06-28<p/>",Dog,Chihuahua - Smooth Coated,731108
LOST,LOST,Cipher,Over 1 year<p/>,Female,Black,25-Jun-25,Date Lost,RICHARD’S  RD AND 26TH,,WA,,"Description: Black/dark brown with white on her chest and green eyes <p/>Age: Over 1 year<p/>Location Lost: Richard’s rd and 26th , Bellevue WA  98005<p/>Lost Date: 2025-06-25<p/>",Cat,Domestic Mediumhair,731120
